# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       7.718255784036e-03       4.225706906118e-01      -5.591718225534e+02      -5.595329826603e+02       1.102864798737e-01      -5.592865368413e+02       3.377748100852e-01       3.377748223114e-01 
       7.827860256754e-03       4.208966336159e-01      -5.728795204103e+02      -5.732588202000e+02       1.043481551468e-01      -5.730048579090e+02       3.364367194457e-01       3.364367395459e-01 
       7.937524492937e-03       4.192282288567e-01      -5.867004183699e+02      -5.870985309936e+02       1.437856097321e-01      -5.868368994678e+02       3.351031084709e-01       3.351031430497e-01 
       8.047246704300e-03       4.175654427509e-01      -6.006325034046e+02      -6.010501205179e+02       1.403743896971e-01      -6.007806790202e+02       3.337740057275e-01       3.337740451330e-01 
       8.157025208554e-03       4.159082870453e-01      -6.146737654116e+02      -6.151115938985e+02       6.982012416491e-02      -6.148342038815e+02       3.324494218559e-01       3.324494535103e-01 
       8.266858423138e-03       4.142567443776e-01      -6.288221300824e+02      -6.292808993415e+02      -3.369130281242e-03      -6.289954089235e+02       3.311293178642e-01       3.311293415125e-01 
       8.376744859423e-03       4.126109037231e-01      -6.430757228980e+02      -6.435561681546e+02      -1.313604042191e-02      -6.432624144584e+02       3.298137431912e-01       3.298137693920e-01 
       8.486683117332e-03       4.109707930128e-01      -6.574326438124e+02      -6.579355111995e+02       2.509883773941e-02      -6.576333327508e+02       3.285027283994e-01       3.285027640778e-01 
       8.596671880356e-03       4.093363693985e-01      -6.718909231086e+02      -6.724169756605e+02       3.894681171729e-02      -6.721062206860e+02       3.271962652185e-01       3.271963053617e-01 
       8.706709910922e-03       4.077075932448e-01      -6.864485886831e+02      -6.869986023508e+02      -6.540137093233e-03      -6.866791233478e+02       3.258943320164e-01       3.258943669561e-01 
       8.816796046100e-03       4.060844972792e-01      -7.011037650495e+02      -7.016785292381e+02      -6.736902006338e-02      -7.013501700686e+02       3.245969391688e-01       3.245969668174e-01 
       8.926929193607e-03       4.044671031088e-01      -7.158545747464e+02      -7.164548959931e+02      -8.090897191705e-02      -7.161174882794e+02       3.233040857543e-01       3.233041132566e-01 
       9.037108328096e-03       4.028553806510e-01      -7.306991016770e+02      -7.313258006891e+02      -4.655212507925e-02      -7.309791743462e+02       3.220157483207e-01       3.220157821399e-01 
       9.147332487703e-03       4.012493489867e-01      -7.456355689189e+02      -7.462894788572e+02      -2.321011402096e-02      -7.459334719605e+02       3.207319609296e-01       3.207319987999e-01 
       9.257600770835e-03       3.996489732652e-01      -7.606621014378e+02      -7.613440756049e+02      -5.160367226635e-02      -7.609785302528e+02       3.194527070188e-01       3.194527415075e-01 
       9.367912333175e-03       3.980542391962e-01      -7.757768427684e+02      -7.764877523948e+02      -1.032422402396e-01      -7.761125038426e+02       3.181779657544e-01       3.181779939482e-01 
       9.478266384901e-03       3.964651511220e-01      -7.909779795745e+02      -7.917187114999e+02      -1.202214674200e-01      -7.913335837501e+02       3.169077244676e-01       3.169077511426e-01 
       9.588662188089e-03       3.948816534883e-01      -8.062636197493e+02      -8.070350833026e+02      -9.067411111701e-02      -8.066398954934e+02       3.156419380015e-01       3.156419689221e-01 
       9.699099054289e-03       3.933038659291e-01      -8.216322911537e+02      -8.224353944548e+02      -6.228831061610e-02      -8.220299741393e+02       3.143807145759e-01       3.143807491236e-01 
       9.809576342276e-03       3.917315885251e-01      -8.370818528729e+02      -8.379175366830e+02      -7.849851791916e-02      -8.375017139764e+02       3.131239062326e-01       3.131239386988e-01 
       9.920093455941e-03       3.901648695340e-01      -8.526106773974e+02      -8.534798857421e+02      -1.229278872802e-01      -8.530534881364e+02       3.118715459505e-01       3.118715731171e-01 
       1.003064984233e-02       3.886037384564e-01      -8.682171002641e+02      -8.691207935675e+02      -1.427355216508e-01      -8.686836379461e+02       3.106236451811e-01       3.106236701702e-01 
       1.014124498982e-02       3.870481188622e-01      -8.838992570912e+02      -8.848384082255e+02      -1.182844836080e-01      -8.843903069382e+02       3.093801380324e-01       3.093801658480e-01 
       1.025187842639e-02       3.854980721601e-01      -8.996556490104e+02      -9.006312347093e+02      -8.745433238878e-02      -9.001720061337e+02       3.081410833945e-01       3.081411144290e-01 
       1.036254971807e-02       3.839535185349e-01      -9.154844573329e+02      -9.164974752319e+02      -9.464100530342e-02      -9.160269422237e+02       3.069064269605e-01       3.069064568401e-01 
       1.047325846738e-02       3.824143706273e-01      -9.313838284065e+02      -9.324352923454e+02      -1.331047273202e-01      -9.319532747144e+02       3.056760971386e-01       3.056761226197e-01 
       1.058400431202e-02       3.808807499309e-01      -9.473524174869e+02      -9.484433447313e+02      -1.551842010990e-01      -9.479496544752e+02       3.044501796010e-01       3.044502026265e-01 
       1.069478692353e-02       3.793525822007e-01      -9.633884225751e+02      -9.645198539726e+02      -1.356850872320e-01      -9.640142958616e+02       3.032286093162e-01       3.032286341727e-01 
       1.080560600610e-02       3.778298498115e-01      -9.794902299676e+02      -9.806632225824e+02      -1.040089016050e-01      -9.801456041124e+02       3.020113793114e-01       3.020114070027e-01 
       1.091646129541e-02       3.763125397757e-01      -9.956562620442e+02      -9.968718887451e+02      -1.043803351371e-01      -9.963420225928e+02       3.007984890265e-01       3.007985162145e-01 
       1.102735255764e-02       3.748006109330e-01      -1.011884813447e+03      -1.013144164103e+03      -1.376604210417e-01      -1.012601860954e+03       2.995898927280e-01       2.995899163027e-01 
       1.113827958843e-02       3.732939807329e-01      -1.028174223269e+03      -1.029478407321e+03      -1.614147633943e-01      -1.028923468431e+03       2.983855539667e-01       2.983855750249e-01 
