# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       6.813638991932e+13       1.628086919262e-25       6.803020369262e-09       1.001655297489e+22       1.419245727533e+04       2.082948229593e-10       9.670228028251e+17       3.927355364699e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       3.669988173570e-08       4.102575451612e+43       1.003313334988e+44       4.341482549440e-06       2.606482937388e+00 
       6.766275066466e+13       1.650959912391e-25       6.850314093754e-09       9.877780043069e+21       1.419245727533e+04       2.097528867200e-10       9.603006979395e+17       3.954846852251e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       3.669988173570e-08       3.989685798209e+43       9.757053857926e+43       4.420418595793e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154248200e-25       6.897607818246e-09       9.740929721415e+21       1.419245727533e+04       2.112211569271e-10       9.536253206947e+17       3.982530780217e-09       5.608668679066e+43       7.546700792321e+32       3.993561766094e+33       3.669988173570e-08       3.879902504213e+43       9.488571183755e+43       4.499354642146e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674441233e-25       6.946720532142e-09       9.605975373396e+21       1.419245727533e+04       2.126997050255e-10       9.469963462708e+17       4.010408495678e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       3.669988173570e-08       3.773140092625e+43       9.227476287429e+43       4.578290688500e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525069458e-25       6.994014256634e-09       9.472890731511e+21       1.419245727533e+04       2.141886029607e-10       9.404134521060e+17       4.038481355147e-09       5.304250442161e+43       7.237362208646e+32       3.829866030097e+33       3.669988173570e-08       3.669315438497e+43       8.973565881114e+43       4.657226734853e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710775158e-25       7.043126970530e-09       9.341649892177e+21       1.419245727533e+04       2.156879231814e-10       9.338763178809e+17       4.066750724633e-09       5.158294566141e+43       7.087480820724e+32       3.750551824231e+33       3.669988173570e-08       3.568347704214e+43       8.726642270801e+43       4.736162781206e-06       2.389276025940e+00 
       6.534348545226e+13       1.770236265838e-25       7.092239684425e-09       9.212227310691e+21       1.419245727533e+04       2.171977386437e-10       9.273846255023e+17       4.095217979705e-09       5.016354925399e+43       6.940703385568e+32       3.672880167530e+33       3.669988173570e-08       3.470158276548e+43       8.486513202384e+43       4.815098827560e-06       2.350107566498e+00 
       6.488926062786e+13       1.795106315137e-25       7.143171387725e-09       9.084597796253e+21       1.419245727533e+04       2.187181228142e-10       9.209380590887e+17       4.123884505563e-09       4.878321006084e+43       6.796965622196e+32       3.596817043797e+33       3.669988173570e-08       3.374670705457e+43       8.252991711968e+43       4.894034873913e-06       2.312202605748e+00 
       6.443819327494e+13       1.820325763758e-25       7.192284101620e-09       8.958736507067e+21       1.419245727533e+04       2.202491496739e-10       9.145363049540e+17       4.152751697102e-09       4.744085335330e+43       6.656204580847e+32       3.522329141287e+33       3.669988173570e-08       3.281810644556e+43       8.025895980305e+43       4.972970920267e-06       2.275500977086e+00 
       6.399026144483e+13       1.845899520413e-25       7.243215804920e-09       8.834618945503e+21       1.419245727533e+04       2.217908937216e-10       9.081790515929e+17       4.181820958981e-09       4.613543397580e+43       6.518358615410e+32       3.449383838124e+33       3.669988173570e-08       3.191505793234e+43       7.805049191224e+43       5.051906966620e-06       2.239946274319e+00 
       6.354544334144e+13       1.871832562775e-25       7.294147508219e-09       8.712220953331e+21       1.419245727533e+04       2.233434299777e-10       9.018659896652e+17       4.211093705693e-09       4.486593553207e+43       6.383367356428e+32       3.377949188008e+33       3.669988173570e-08       3.103685840358e+43       7.590279393966e+43       5.130843012973e-06       2.205485562406e+00 
       6.310371732019e+13       1.898129938449e-25       7.345079211518e-09       8.591518707018e+21       1.419245727533e+04       2.249068339875e-10       8.955968119813e+17       4.240571361633e-09       4.363136959379e+43       6.251171684661e+32       3.307993906231e+33       3.669988173570e-08       3.018282409532e+43       7.381419369304e+43       5.209779059327e-06       2.172069114491e+00 
       6.266506188699e+13       1.924796765955e-25       7.396010914817e-09       8.472488713089e+21       1.419245727533e+04       2.264811818254e-10       8.893712134869e+17       4.270255361164e-09       4.243077493099e+43       6.121713705189e+32       3.239487355970e+33       3.669988173570e-08       2.935229005859e+43       7.178306499343e+43       5.288715105680e-06       2.139650172484e+00 
       6.222945569711e+13       1.951838235719e-25       7.448761607520e-09       8.355107803559e+21       1.419245727533e+04       2.280665500982e-10       8.831888912482e+17       4.300147148692e-09       4.126321676367e+43       5.994936722065e+32       3.172399534873e+33       3.669988173570e-08       2.854460964164e+43       6.980782640909e+43       5.367651152034e-06       2.108184728771e+00 
