# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       6.488926062786e+13       1.795267714252e-25       7.143171387725e-09       9.083781067897e+21       1.419311605844e+04       2.187282752355e-10       9.209808070375e+17       4.124255286561e-09       4.878321006084e+43       6.796965622196e+32       3.596817043797e+33       3.373186842437e+43       1.124395614146e+43       3.667546103802e-08       8.251507848948e+43       4.892664843067e-06       2.312202605748e+00 
       6.443819327494e+13       1.820489430370e-25       7.194103091024e-09       8.957931093960e+21       1.419311605844e+04       2.202593731621e-10       9.145787557473e+17       4.153125073567e-09       4.744085335330e+43       6.656204580847e+32       3.522329141287e+33       3.280367612664e+43       1.093455870888e+43       3.667546103802e-08       8.024452948413e+43       4.971578792148e-06       2.275500977086e+00 
       6.399026144483e+13       1.846065486377e-25       7.243215804920e-09       8.833824690879e+21       1.419311605844e+04       2.218011887742e-10       9.082212072962e+17       4.182196949081e-09       4.613543397580e+43       6.518358615410e+32       3.449383838124e+33       3.190102468928e+43       1.063367489643e+43       3.667546103802e-08       7.803645866919e+43       5.050492741230e-06       2.239946274319e+00 
       6.354544334144e+13       1.872000860395e-25       7.294147508219e-09       8.711437702597e+21       1.419311605844e+04       2.233537970957e-10       9.019078523299e+17       4.211472327725e-09       4.486593553207e+43       6.383367356428e+32       3.377949188008e+33       3.102321131014e+43       1.034107043671e+43       3.667546103802e-08       7.588914684623e+43       5.129406690312e-06       2.205485562406e+00 
       6.310371732019e+13       1.898300600482e-25       7.345079211518e-09       8.590746307721e+21       1.419311605844e+04       2.249172736753e-10       8.956383836444e+17       4.240952634018e-09       4.363136959379e+43       6.251171684661e+32       3.307993906231e+33       3.016955252591e+43       1.005651750864e+43       3.667546103802e-08       7.380092212363e+43       5.208320639394e-06       2.172069114491e+00 
       6.266506188699e+13       1.924969825618e-25       7.397829904221e-09       8.471727014891e+21       1.419311605844e+04       2.264916945911e-10       8.894124961712e+17       4.270639302456e-09       4.243077493099e+43       6.121713705189e+32       3.239487355970e+33       2.933938367999e+43       9.779794559996e+42       3.667546103802e-08       7.177015861483e+43       5.287234588475e-06       2.139650172484e+00 
       6.222945569711e+13       1.952013726698e-25       7.448761607520e-09       8.354356658201e+21       1.419311605844e+04       2.280771364532e-10       8.832298869624e+17       4.300533777573e-09       4.126321676367e+43       5.994936722065e+32       3.172399534873e+33       2.853205840499e+43       9.510686134996e+42       3.667546103802e-08       6.979527517243e+43       5.366148537557e-06       2.108184728771e+00 
       6.179687755423e+13       1.979437567545e-25       7.501512300223e-09       8.238612392698e+21       1.419311605844e+04       2.296736764084e-10       8.770902551762e+17       4.330637514016e-09       4.012778603396e+43       5.870785213476e+32       3.106701061918e+33       2.774694811946e+43       9.248982706488e+42       3.667546103802e-08       6.787473415711e+43       5.445062486639e-06       2.077631326905e+00 
       6.136730640936e+13       2.007246685931e-25       7.554262992926e-09       8.124471689928e+21       1.419311605844e+04       2.312813921432e-10       8.709933020617e+17       4.360951976613e-09       3.902359869831e+43       5.749204807436e+32       3.042363164547e+33       2.698344153850e+43       8.994480512834e+42       3.667546103802e-08       6.600704024043e+43       5.523976435720e-06       2.047950879378e+00 
       6.094072135984e+13       2.035446494621e-25       7.607013685629e-09       8.011912333555e+21       1.419311605844e+04       2.329003618882e-10       8.649387309451e+17       4.391478640449e-09       3.794979503924e+43       5.630142257968e+32       2.979357666063e+33       2.624094419779e+43       8.746981399264e+42       3.667546103802e-08       6.419073924057e+43       5.602890384802e-06       2.019106500796e+00 
       6.051710164830e+13       2.064042482424e-25       7.659764378332e-09       7.900912415038e+21       1.419311605844e+04       2.345306644214e-10       8.589262472146e+17       4.422218990932e-09       3.690553899588e+43       5.513545421787e+32       2.917656973293e+33       2.551887799075e+43       8.506292663583e+42       3.667546103802e-08       6.242441699010e+43       5.681804333884e-06       1.991063354951e+00 
