# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02735e-05 to 23.4548 h/Mpc,
# number of wavenumbers equal to 850
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.003600772199e-02       2.011135700214e-01      -7.306137972857e+02      -7.311661916025e+02      -1.894835631118e-01      -7.308610377838e+02       3.623220540210e-01       3.623220719437e-01 
       1.016181825146e-02       2.003817952368e-01      -7.463101778433e+02      -7.468871860735e+02      -2.034664580705e-01      -7.465734494179e+02       3.610036727239e-01       3.610036901884e-01 
       1.028767261763e-02       1.996520342913e-01      -7.621139133992e+02      -7.627163247316e+02      -1.700736654761e-01      -7.623938419353e+02       3.596888929208e-01       3.596889151272e-01 
       1.041357001768e-02       1.989242938870e-01      -7.780231724205e+02      -7.786517904372e+02      -1.442715337322e-01      -7.783204031312e+02       3.583777537348e-01       3.583777792967e-01 
       1.053950970467e-02       1.981985273737e-01      -7.940359027872e+02      -7.946915521207e+02      -1.677544798334e-01      -7.943511042629e+02       3.570701868040e-01       3.570702100306e-01 
       1.066549098476e-02       1.974747781719e-01      -8.101503870662e+02      -8.108338992884e+02      -2.159953793433e-01      -8.104842312614e+02       3.557662616423e-01       3.557662800292e-01 
       1.079151321474e-02       1.967530604190e-01      -8.263647598345e+02      -8.270769827144e+02      -2.327760671084e-01      -8.267179260436e+02       3.544659728089e-01       3.544659898726e-01 
       1.091757579960e-02       1.960333632069e-01      -8.426771357058e+02      -8.434189381241e+02      -2.040021274045e-01      -8.430503198216e+02       3.531693042134e-01       3.531693245172e-01 
       1.104367819038e-02       1.953156874042e-01      -8.590857195323e+02      -8.598579831995e+02      -1.744564492979e-01      -8.594796342120e+02       3.518762720502e-01       3.518762953183e-01 
       1.116981988209e-02       1.945999665955e-01      -8.755884327068e+02      -8.763920664812e+02      -1.875741605107e-01      -8.760038193315e+02       3.505867765214e-01       3.505867983657e-01 
       1.129600041186e-02       1.938863035576e-01      -8.921839323600e+02      -8.930198396827e+02      -2.293782332417e-01      -8.926215264562e+02       3.493009950892e-01       3.493010128779e-01 
       1.142221935712e-02       1.931745934000e-01      -9.088698909483e+02      -9.097390154459e+02      -2.485641632719e-01      -9.093304562869e+02       3.480187198189e-01       3.480187358760e-01 
       1.154847633398e-02       1.924649099224e-01      -9.256448748502e+02      -9.265481547853e+02      -2.245202242026e-01      -9.261291686127e+02       3.467400763625e-01       3.467400946267e-01 
       1.167477099569e-02       1.917572428280e-01      -9.425071218661e+02      -9.434455082688e+02      -1.932045976000e-01      -9.430159168638e+02       3.454650618490e-01       3.454650827302e-01 
       1.180110303122e-02       1.910515333267e-01      -9.594546299558e+02      -9.604290957594e+02      -1.985691340867e-01      -9.599887233541e+02       3.441935853958e-01       3.441936055046e-01 
       1.192747216393e-02       1.903478074983e-01      -9.764858008505e+02      -9.774973249435e+02      -2.350535348493e-01      -9.770459946213e+02       3.429256932289e-01       3.429257099726e-01 
       1.205387815036e-02       1.896460987915e-01      -9.935990527532e+02      -9.946486190247e+02      -2.562449511223e-01      -9.941861479016e+02       3.416614259801e-01       3.416614408269e-01 
       1.218032077904e-02       1.889463515038e-01      -1.010792367662e+03      -1.011880988817e+03      -2.367639062986e-01      -1.011407186937e+03       3.404006763472e-01       3.404006926690e-01 
       1.230679986945e-02       1.882485701360e-01      -1.028064106503e+03      -1.029192801104e+03      -2.049871857114e-01      -1.028707481515e+03       3.391434612968e-01       3.391434799164e-01 
       1.243331527104e-02       1.875527814618e-01      -1.045412793396e+03      -1.046582584494e+03      -2.044029817974e-01      -1.046085565255e+03       3.378898445313e-01       3.378898628405e-01 
       1.255986686228e-02       1.868589847560e-01      -1.062836765627e+03      -1.064048693463e+03      -2.362689877825e-01      -1.063539790542e+03       3.366398224619e-01       3.366398379992e-01 
       1.268645454984e-02       1.861671243164e-01      -1.080334018661e+03      -1.081589150828e+03      -2.589549454204e-01      -1.081068171377e+03       3.353932818060e-01       3.353932954236e-01 
       1.281307826778e-02       1.854772520412e-01      -1.097903204962e+03      -1.099202619033e+03      -2.437435640773e-01      -1.098669365523e+03       3.341503090269e-01       3.341503235897e-01 
       1.293973797681e-02       1.847893507525e-01      -1.115542634355e+03      -1.116887420701e+03      -2.123037495125e-01      -1.116341696704e+03       3.329108796234e-01       3.329108961962e-01 
       1.306643366364e-02       1.841033725446e-01      -1.133250450964e+03      -1.134641724546e+03      -2.070727451735e-01      -1.134083335429e+03       3.316749216764e-01       3.316749382626e-01 
       1.319316534034e-02       1.834193199386e-01      -1.151025085725e+03      -1.152463969140e+03      -2.348221128935e-01      -1.151892720343e+03       3.304424412516e-01       3.304424555669e-01 
       1.331993304376e-02       1.827372141504e-01      -1.168865068198e+03      -1.170352691667e+03      -2.585768523122e-01      -1.169768383360e+03       3.292134657697e-01       3.292134782192e-01 
