# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       6.719240383780e+13       1.484386108380e-25       6.115442374721e-09       1.098623786792e+22       1.330060624629e+04       1.979480638675e-10       8.936997061885e+17       3.531104360727e-09       5.608668679067e+43       7.546700792321e+32       3.993561766094e+33       2.581171065301e+43       8.603903551004e+42       8.111013765352e-08       3.879902504213e+43       1.206974224906e+44       6.574618280140e-06       2.515027395726e+00 
       6.672532655193e+13       1.505240248817e-25       6.159098120406e-09       1.083403057241e+22       1.330060624629e+04       1.993337003145e-10       8.874872951226e+17       3.555822091252e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       2.510145556966e+43       8.367151856553e+42       8.111013765352e-08       3.773140092625e+43       1.173762184439e+44       6.689962460494e-06       2.471664854420e+00 
       6.626149607938e+13       1.526387369072e-25       6.202753866091e-09       1.068393201158e+22       1.330060624629e+04       2.007290362167e-10       8.813180686421e+17       3.580712845891e-09       5.304250442161e+43       7.237362208646e+32       3.829866030097e+33       2.441074441697e+43       8.136914805657e+42       8.111013765352e-08       3.669315438498e+43       1.141464032281e+44       6.805306640847e-06       2.429772229769e+00 
       6.580088985043e+13       1.547831585220e-25       6.244590622373e-09       1.053591297026e+22       1.330060624629e+04       2.021341394703e-10       8.751917265563e+17       3.605777835812e-09       5.158294566142e+43       7.087480820724e+32       3.750551824231e+33       2.373903940898e+43       7.913013136325e+42       8.111013765352e-08       3.568347704214e+43       1.110054621170e+44       6.920650821200e-06       2.389276025940e+00 
       6.534348545226e+13       1.569577071161e-25       6.288246368058e-09       1.038994463805e+22       1.330060624629e+04       2.035490784465e-10       8.691079707609e+17       3.631018280662e-09       5.016354925399e+43       6.940703385568e+32       3.672880167530e+33       2.308581755782e+43       7.695272519274e+42       8.111013765352e-08       3.470158276548e+43       1.079509495817e+44       7.035995001553e-06       2.350107566498e+00 
       6.488926062787e+13       1.591628059434e-25       6.333721103147e-09       1.024599860366e+22       1.330060624629e+04       2.049739219957e-10       8.630665052243e+17       3.656435408627e-09       4.878321006084e+43       6.796965622196e+32       3.596817043797e+33       2.245057026661e+43       7.483523422205e+42       8.111013765352e-08       3.374670705457e+43       1.049804873863e+44       7.151339181907e-06       2.312202605749e+00 
       6.443819327494e+13       1.613988842041e-25       6.377376848832e-09       1.010404684948e+22       1.330060624629e+04       2.064087394496e-10       8.570670359725e+17       3.682030456487e-09       4.744085335330e+43       6.656204580847e+32       3.522329141287e+33       2.183280293339e+43       7.277600977797e+42       8.111013765352e-08       3.281810644556e+43       1.020917627364e+44       7.266683362260e-06       2.275500977086e+00 
       6.399026144483e+13       1.636663771282e-25       6.422851583920e-09       9.964061746010e+21       1.330060624629e+04       2.078536006258e-10       8.511092710750e+17       3.707804669682e-09       4.613543397580e+43       6.518358615410e+32       3.449383838124e+33       2.123203456605e+43       7.077344855350e+42       8.111013765352e-08       3.191505793234e+43       9.928252647829e+43       7.382027542613e-06       2.239946274319e+00 
       6.354544334144e+13       1.659657260605e-25       6.466507329606e-09       9.826016046573e+21       1.330060624629e+04       2.093085758302e-10       8.451929206306e+17       3.733759302369e-09       4.486593553207e+43       6.383367356428e+32       3.377949188008e+33       2.064779740784e+43       6.882599135946e+42       8.111013765352e-08       3.103685840358e+43       9.655059134750e+43       7.497371722967e-06       2.205485562407e+00 
       6.310371732020e+13       1.682973785459e-25       6.511982064694e-09       9.689882881965e+21       1.330060624629e+04       2.107737358610e-10       8.393176967533e+17       3.759895617486e-09       4.363136959379e+43       6.251171684661e+32       3.307993906231e+33       2.007963657316e+43       6.693212191055e+42       8.111013765352e-08       3.018282409532e+43       9.389383026621e+43       7.612715903320e-06       2.172069114492e+00 
