# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       3.739208684334e-03       2.416116023073e-01      -1.519333463407e+02      -1.519669086606e+02      -1.912138045886e-01       1.070177460423e+00      -1.519101879595e+02       3.907370642579e-01       3.907373103907e-01 
       3.843010078631e-03       2.456652889492e-01      -1.599127397993e+02      -1.599492254550e+02      -1.900702205568e-01       1.302174681847e+00      -1.598893340821e+02       3.893439663201e-01       3.893442048836e-01 
       3.947181192420e-03       2.766776730795e-01      -1.680931998722e+02      -1.681328055956e+02      -1.626939170006e-01       1.159114202957e+00      -1.680696515582e+02       3.879467041469e-01       3.879469708895e-01 
       4.051697420008e-03       3.015143432200e-01      -1.764722244866e+02      -1.765151525387e+02      -1.468776737206e-01       6.997537789697e-01      -1.764486518499e+02       3.865459465619e-01       3.865462272831e-01 
       4.156536173955e-03       4.821917168275e-01      -1.850472995506e+02      -1.850937581800e+02       4.855625722447e-01       1.244753716635e-01      -1.850237138061e+02       3.851423605656e-01       3.851423601048e-01 
       4.261676701857e-03       4.804308223766e-01      -1.938159331476e+02      -1.938661387296e+02       4.837893715433e-01      -3.113600105906e-01      -1.937925543688e+02       3.837364190153e-01       3.837364188605e-01 
       4.367099920266e-03       4.786677957991e-01      -2.027755741353e+02      -2.028297553207e+02       4.820140229842e-01      -4.110256301529e-01      -2.027525164622e+02       3.823286510422e-01       3.823286513298e-01 
       4.472788264292e-03       4.769032971791e-01      -2.119237014489e+02      -2.119820987070e+02       4.802371911267e-01      -1.265532504329e-01      -2.119010878700e+02       3.809195628948e-01       3.809195635582e-01 
       4.578725551528e-03       4.751377997916e-01      -2.212577813170e+02      -2.213206508804e+02       4.784593530910e-01       4.168872223472e-01      -2.212357539912e+02       3.795096149339e-01       3.795096157400e-01 
       4.684896858992e-03       4.733717470733e-01      -2.307752807915e+02      -2.308428947000e+02       4.766809558913e-01       9.750427003747e-01      -2.307540059007e+02       3.780992358306e-01       3.780992364885e-01 
       4.791288411857e-03       4.716055684017e-01      -2.404736939492e+02      -2.405463401133e+02       4.749024324601e-01       1.294234867012e+00      -2.404533621233e+02       3.766888552489e-01       3.766888555411e-01 
