#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       3.257655768355e-02       7.028957260069e-08      -1.202622086574e+00       9.789902617005e-03       3.806970710794e-11       9.517426776985e-11       2.081824123448e-19       1.903485355397e-11      -9.019665649303e-01       9.789902617126e-03       6.011007064054e-01       6.993976352969e-01      -1.202622081559e+00       9.789440801806e-03       4.252358229291e-05      -9.019665727506e-01       9.790862827338e-03 
       3.427738601372e-02       7.395963280772e-08      -1.202660363827e+00       1.030089856267e-02       4.434900901630e-11       1.108725225407e-10       2.685073068202e-19       2.217450450815e-11      -9.019952728703e-01       1.030089856280e-02       6.010985894846e-01       6.993937611518e-01      -1.202660357680e+00       1.030036057288e-02       4.707927210204e-05      -9.019952824562e-01       1.030201715248e-02 
       3.597821434389e-02       7.762971565401e-08      -1.202700445426e+00       1.081187404122e-02       5.128333302173e-11       1.282083325543e-10       3.420699546184e-19       2.564166651086e-11      -9.020253340692e-01       1.081187404137e-02       6.010963662411e-01       6.993897256201e-01      -1.202700437965e+00       1.081125193023e-02       5.186665029638e-05      -9.020253457039e-01       1.081316753249e-02 
       3.767904267405e-02       8.129982113957e-08      -1.202742335492e+00       1.132282811654e-02       5.890515837314e-11       1.472628959329e-10       4.309384093048e-19       2.945257918657e-11      -9.020567516187e-01       1.132282811670e-02       6.010940357769e-01       6.993855276595e-01      -1.202742326517e+00       1.132211354360e-02       5.688570017635e-05      -9.020567656143e-01       1.132431385074e-02 
       3.937987100422e-02       8.496994926439e-08      -1.202786064799e+00       1.183376013780e-02       6.724696232755e-11       1.681174058189e-10       5.373856746660e-19       3.362348116378e-11      -9.020895485994e-01       1.183376013798e-02       6.010915914460e-01       6.993811595639e-01      -1.202786054091e+00       1.183294436808e-02       6.213640423256e-05      -9.020895652984e-01       1.183545627588e-02 
       4.108069933439e-02       8.864010002848e-08      -1.202831605550e+00       1.234466887287e-02       7.634121530752e-11       1.908530382688e-10       6.638993452172e-19       3.817060765376e-11      -9.021237041623e-01       1.234466887307e-02       6.010890392431e-01       6.993766282702e-01      -1.202831592868e+00       1.234374277745e-02       6.761874419245e-05      -9.021237239384e-01       1.234659439520e-02 
       4.278152766456e-02       9.231027343184e-08      -1.202878953979e+00       1.285555331240e-02       8.622038463690e-11       2.155509615922e-10       8.131913057266e-19       4.311019231845e-11      -9.021592154845e-01       1.285555331261e-02       6.010863799608e-01       6.993719347059e-01      -1.202878939063e+00       1.285450736830e-02       7.333270101097e-05      -9.021592387446e-01       1.285772801873e-02 
       4.514081136190e-02       9.740134810105e-08      -1.202947652848e+00       1.356417884205e-02       1.012843842846e-10       2.532109607114e-10       1.063543172661e-18       5.064219214228e-11      -9.022107396357e-01       1.356417884228e-02       6.010825079775e-01       6.993651485993e-01      -1.202947634359e+00       1.356295014814e-02       8.164218600433e-05      -9.022107684668e-01       1.356673351395e-02 
       4.750009505924e-02       1.024924663317e-07      -1.203019851270e+00       1.427275346172e-02       1.180077807926e-10       2.950194519816e-10       1.372073027900e-18       5.900389039631e-11      -9.022648884528e-01       1.427275346198e-02       6.010784252859e-01       6.993580448672e-01      -1.203019828603e+00       1.427132188473e-02       9.039724325523e-05      -9.022649238002e-01       1.427572996022e-02 
       4.985937875658e-02       1.075836281236e-07      -1.203095544942e+00       1.498127456162e-02       1.364771890858e-10       3.411929727144e-10       1.748377212761e-18       6.823859454289e-11      -9.023216587066e-01       1.498127456190e-02       6.010741327820e-01       6.993506245447e-01      -1.203095517425e+00       1.497961891690e-02       9.959781437199e-05      -9.023217016172e-01       1.498471693434e-02 
