#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       5.534573659397e-01       1.273928400648e-06      -1.183689576304e+00       1.636245951851e-05       2.105115767798e-11       5.262789419495e-11       3.808741936713e-19       1.052557883899e-11      -8.877671822280e-01       1.636245951851e-05       5.916707565461e-01       7.040791150454e-01      -1.183689576300e+00       1.636243720688e-05       1.207295500780e-06      -8.877671822345e-01       1.636250654387e-05      -1.183689576300e+00       1.636243768783e-05       1.172503127179e-06       3.333333333333e-01 
       5.962030639161e-01       1.372418645391e-06      -1.183810696289e+00       1.762668959370e-05       2.631965092845e-11       6.579912732112e-11       5.526737890958e-19       1.315982546422e-11      -8.878580222167e-01       1.762668959370e-05       5.917163926900e-01       7.040490771974e-01      -1.183810696283e+00       1.762666169853e-05       1.401013552796e-06      -8.878580222255e-01       1.762674837166e-05      -1.183810696284e+00       1.762666234623e-05       1.357576689732e-06       3.333333333333e-01 
       6.389487618924e-01       1.470923189810e-06      -1.183931665346e+00       1.889098545841e-05       3.240183018222e-11       8.100457545554e-11       7.815649149709e-19       1.620091509111e-11      -8.879487490092e-01       1.889098545841e-05       5.917618547092e-01       7.040190950954e-01      -1.183931665338e+00       1.889095111749e-05       1.609142582779e-06      -8.879487490207e-01       1.889105779903e-05      -1.183931665339e+00       1.889095197166e-05       1.555750615815e-06       3.333333333333e-01 
       6.816944598688e-01       1.569442033906e-06      -1.184052464215e+00       2.015534581325e-05       3.935632520433e-11       9.839081301082e-11       1.080738504026e-18       1.967816260216e-11      -8.880393481609e-01       2.015534581325e-05       5.918071519726e-01       7.039891735552e-01      -1.184052464205e+00       2.015530410228e-05       1.831683329433e-06      -8.880393481759e-01       2.015543365595e-05      -1.184052464206e+00       2.015530520842e-05       1.766936355059e-06       3.333333333333e-01 
       7.244401578451e-01       1.667975177678e-06      -1.184173069278e+00       2.141976915840e-05       4.724180333430e-11       1.181045083358e-10       1.465281808863e-18       2.362090166715e-11      -8.881298019587e-01       2.141976915841e-05       5.918522895236e-01       7.039593184821e-01      -1.184173069266e+00       2.141971909092e-05       2.068636582359e-06      -8.881298019778e-01       2.141987457189e-05      -1.184173069267e+00       2.141972050074e-05       1.991045986546e-06       3.333333333333e-01 
       7.671858558215e-01       1.766522621126e-06      -1.184293591983e+00       2.268425655976e-05       5.611697586939e-11       1.402924396735e-10       1.952307349900e-18       2.805848793469e-11      -8.882201939873e-01       2.268425655977e-05       5.918972452655e-01       7.039295020155e-01      -1.184293591968e+00       2.268419708716e-05       2.320003048514e-06      -8.882201940113e-01       2.268438174198e-05      -1.184293591969e+00       2.268419885888e-05       2.227992155226e-06       3.333333333333e-01 
       8.324304113577e-01       1.916967296491e-06      -1.184477365187e+00       2.461441799256e-05       7.170483315999e-11       1.792620829000e-10       2.937604747625e-18       3.585241657999e-11      -8.883580238904e-01       2.461441799256e-05       5.919655287599e-01       7.038840730446e-01      -1.184477365166e+00       2.461434200174e-05       2.731464860614e-06      -8.883580239237e-01       2.461457787905e-05      -1.184477365167e+00       2.461434445395e-05       2.614205625083e-06       3.333333333333e-01 
       8.976749668939e-01       2.067445286098e-06      -1.184660996535e+00       2.654472521206e-05       8.994434878623e-11       2.248608719656e-10       4.286052197575e-18       4.497217439311e-11      -8.884957474013e-01       2.654472521207e-05       5.920334002710e-01       7.038387215167e-01      -1.184660996507e+00       2.654462989370e-05       3.176509229913e-06      -8.884957474463e-01       2.654492568344e-05      -1.184660996508e+00       2.654463320462e-05       3.029816267263e-06       3.333333333333e-01 
       9.629195224301e-01       2.217956589948e-06      -1.184844447105e+00       2.847517481679e-05       1.110448001177e-10       2.776120002942e-10       6.090035642987e-18       5.552240005883e-11      -8.886333353291e-01       2.847517481680e-05       5.921008719929e-01       7.037934571654e-01      -1.184844447068e+00       2.847505713997e-05       3.655138559672e-06      -8.886333353886e-01       2.847542221245e-05      -1.184844447070e+00       2.847506151613e-05       3.474521178404e-06       3.333333333333e-01 
       1.028164077966e+00       2.368501208040e-06      -1.185027722028e+00       3.040576433802e-05       1.352156733850e-10       3.380391834624e-10       8.456483006862e-18       6.760783669249e-11      -8.887707915209e-01       3.040576433804e-05       5.921679435442e-01       7.037482787112e-01      -1.185027721979e+00       3.040562105005e-05       4.167355306835e-06      -8.887707915984e-01       3.040606545584e-05      -1.185027721982e+00       3.040562672825e-05       3.948020699482e-06       3.333333333333e-01 
